1,Cm,2,3,5,6,7,-1,Ddim,Eb,Gm,Ab,Bb,0,None
2,Ddim,6,-1,Ab,0,None
3,Eb,1,4,5,-1,Cm,Fm,Gm,0,3,3,None
4,Fm,1,-1,Cm,0,None
5,Gm,1,7,-1,Cm,Bb,0,None
6,Ab,3,-1,Eb,0,None
7,Bb,1,5,-1,Cm,Gm,0,None
