1,A,4,5,6,-1,D,E,F#m,0,None
2,Bm,-1,0,None
3,C#m,1,4,5,6,-1,A,D,E,F#m,0,None
4,D,1,5,6,-1,A,E,F#m,0,None
5,E,1,3,4,-1,A,C#m,D,0,7,5,None
6,F#m,1,3,4,5,-1,A,C#m,D,E,0,None
7,G#dim,-1,0,None
